* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 21, 2025 2:21:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 (MSI B550)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.603	40.9064
20.299999	97.612	39.4180
20.600000	97.620	37.9561
20.900000	97.628	36.5188
21.200001	97.635	35.1057
21.400000	97.639	34.1772
21.799999	97.647	32.3544
22.000000	97.650	31.4605
22.400000	97.657	29.7072
22.700001	97.662	28.4215
23.000000	97.667	27.1594
23.299999	97.672	25.9197
23.600000	97.677	24.7014
24.000000	97.684	23.1095
24.299999	97.688	21.9395
24.700001	97.694	20.4103
25.000000	97.698	19.2858
25.400000	97.702	17.8156
25.799999	97.705	16.3788
26.200001	97.707	14.9760
26.500000	97.707	13.9465
26.900000	97.708	12.6024
27.200001	97.709	11.6138
27.600000	97.709	10.3172
28.000000	97.710	9.0408
28.500000	97.711	7.4698
29.000000	97.709	5.9275
29.500000	97.707	4.4187
30.000000	97.704	2.9458
30.400000	97.701	1.7921
30.700001	97.699	0.9399
31.100000	97.697	-0.1795
31.500000	97.694	-1.2789
32.000000	97.690	-2.6231
32.500000	97.686	-3.9337
33.000000	97.684	-5.2149
33.500000	97.681	-6.4731
34.000000	97.679	-7.7128
34.500000	97.674	-8.9338
35.000000	97.668	-10.1332
35.500000	97.660	-11.3071
36.000000	97.651	-12.4523
36.500000	97.641	-13.5680
37.000000	97.632	-14.6580
37.500000	97.624	-15.7303
38.200001	97.612	-17.2139
38.700001	97.603	-18.2587
39.500000	97.585	-19.8852
40.000000	97.575	-20.8726
40.599998	97.564	-22.0401
41.200001	97.552	-23.1937
41.799999	97.539	-24.3240
42.500000	97.523	-25.6076
43.099998	97.510	-26.6931
43.700001	97.495	-27.7733
44.400002	97.471	-29.0034
45.000000	97.449	-30.0113
45.500000	97.432	-30.8247
46.200001	97.411	-31.9504
46.799999	97.391	-32.9112
47.500000	97.365	-34.0108
48.200001	97.338	-35.0784
48.700001	97.319	-35.8270
49.400002	97.291	-36.8603
50.000000	97.265	-37.7302
50.799999	97.230	-38.8655
51.500000	97.199	-39.8401
52.200001	97.167	-40.8027
53.000000	97.128	-41.8877
53.799999	97.087	-42.9476
54.500000	97.051	-43.8604
55.200001	97.014	-44.7733
56.000000	96.965	-45.8032
57.000000	96.896	-47.0458
58.000000	96.817	-48.2291
59.000000	96.735	-49.3066
60.000000	96.659	-50.4210
60.799999	96.581	-51.3715
61.500000	96.496	-52.1379
62.200001	96.410	-52.8189
63.000000	96.314	-53.5606
64.000000	96.192	-54.4754
65.000000	96.065	-55.3555
66.000000	95.933	-56.2028
67.000000	95.795	-57.0047
68.000000	95.655	-57.7794
69.000000	95.508	-58.5390
70.000000	95.356	-59.2756
71.000000	95.203	-60.0040
72.000000	95.048	-60.7404
73.000000	94.893	-61.4784
74.000000	94.738	-62.2124
75.000000	94.585	-62.9431
76.199997	94.402	-63.7935
77.500000	94.209	-64.6654
78.800003	94.018	-65.4992
80.000000	93.841	-66.2274
81.199997	93.665	-66.9268
82.500000	93.474	-67.6564
83.800003	93.283	-68.3589
85.000000	93.106	-68.9877
86.199997	92.930	-69.5916
87.500000	92.741	-70.2196
88.500000	92.595	-70.6841
90.000000	92.379	-71.3564
91.199997	92.206	-71.8718
92.500000	92.020	-72.4113
93.800003	91.833	-72.9238
95.000000	91.662	-73.3623
96.199997	91.493	-73.7752
97.500000	91.310	-74.1989
98.800003	91.128	-74.5924
100.000000	90.961	-74.9409
101.500000	90.753	-75.3658
103.000000	90.545	-75.7615
104.400002	90.355	-76.1128
106.000000	90.138	-76.4859
107.500000	89.936	-76.7947
109.000000	89.735	-77.0717
110.599998	89.521	-77.3389
112.000000	89.335	-77.5594
113.800003	89.097	-77.8204
115.000000	88.942	-77.9794
117.199997	88.660	-78.2427
118.000000	88.558	-78.3235
120.599998	88.227	-78.5182
122.000000	88.052	-78.5948
124.099998	87.796	-78.6992
125.000000	87.688	-78.7392
126.500000	87.507	-78.7824
128.000000	87.327	-78.7878
131.500000	86.911	-78.7001
132.000000	86.853	-78.6799
134.000000	86.624	-78.6009
136.000000	86.399	-78.4558
138.000000	86.182	-78.2509
140.000000	85.965	-78.0385
143.000000	85.634	-77.7093
145.000000	85.425	-77.4433
147.500000	85.180	-77.0873
150.000000	84.940	-76.7092
152.500000	84.699	-76.3563
155.000000	84.454	-75.9956
157.500000	84.217	-75.5396
160.000000	83.991	-75.0257
162.500000	83.773	-74.4785
165.000000	83.568	-73.9055
167.500000	83.370	-73.3129
170.000000	83.176	-72.7140
172.500000	82.984	-72.1678
175.000000	82.796	-71.6290
177.500000	82.606	-71.0588
180.000000	82.410	-70.4724
182.500000	82.206	-69.8789
185.000000	82.013	-69.1321
187.500000	81.853	-68.2631
190.000000	81.712	-67.3368
192.500000	81.586	-66.3387
195.000000	81.489	-65.3891
197.500000	81.410	-64.6797
200.000000	81.321	-64.1275
203.000000	81.182	-63.5578
206.000000	80.993	-62.8808
209.000000	80.834	-62.1275
212.000000	80.734	-61.5178
214.000000	80.685	-61.1274
218.000000	80.541	-60.2987
220.000000	80.447	-59.7637
224.000000	80.289	-58.7305
227.000000	80.188	-58.0033
230.000000	80.090	-57.2810
233.000000	79.986	-56.5913
236.000000	79.887	-55.8648
240.000000	79.770	-54.9540
243.000000	79.684	-54.3063
247.000000	79.572	-53.4589
250.000000	79.491	-52.8489
254.000000	79.387	-52.0416
258.000000	79.292	-51.2477
262.000000	79.202	-50.4754
265.000000	79.141	-49.8576
269.000000	79.063	-49.1173
272.000000	79.001	-48.6377
276.000000	78.914	-47.8943
280.000000	78.835	-47.1138
285.000000	78.749	-46.2463
290.000000	78.671	-45.4306
295.000000	78.589	-44.6411
300.000000	78.508	-43.8718
304.000000	78.447	-43.2953
307.000000	78.403	-42.8857
311.000000	78.346	-42.3282
315.000000	78.285	-41.7407
320.000000	78.209	-41.0496
325.000000	78.136	-40.3665
330.000000	78.066	-39.6899
335.000000	78.000	-39.0078
340.000000	77.938	-38.3447
345.000000	77.876	-37.7178
350.000000	77.813	-37.0847
355.000000	77.754	-36.5091
360.000000	77.697	-35.9578
365.000000	77.639	-35.3822
370.000000	77.585	-34.7882
375.000000	77.535	-34.1954
382.000000	77.470	-33.4197
387.000000	77.421	-32.9076
395.000000	77.339	-32.1680
400.000000	77.294	-31.7492
406.000000	77.237	-31.1898
412.000000	77.175	-30.6669
418.000000	77.111	-30.1320
425.000000	77.038	-29.4928
431.000000	76.976	-28.9701
437.000000	76.913	-28.4290
444.000000	76.838	-27.7660
450.000000	76.777	-27.1997
455.000000	76.729	-26.7423
462.000000	76.662	-26.0711
468.000000	76.607	-25.4813
475.000000	76.543	-24.8314
482.000000	76.483	-24.1872
487.000000	76.442	-23.7344
494.000000	76.385	-23.1073
500.000000	76.339	-22.5649
508.000000	76.278	-21.8626
515.000000	76.226	-21.2467
522.000000	76.173	-20.6180
530.000000	76.113	-19.9093
538.000000	76.055	-19.2240
545.000000	76.007	-18.6155
552.000000	75.961	-18.0160
560.000000	75.910	-17.3452
570.000000	75.845	-16.4877
580.000000	75.782	-15.6367
590.000000	75.722	-14.7871
600.000000	75.662	-13.9273
608.000000	75.618	-13.2464
615.000000	75.580	-12.6602
622.000000	75.543	-12.0672
630.000000	75.500	-11.3722
640.000000	75.449	-10.4901
650.000000	75.403	-9.6234
660.000000	75.361	-8.7497
670.000000	75.318	-7.8555
680.000000	75.275	-6.9676
690.000000	75.233	-6.0995
700.000000	75.197	-5.2396
710.000000	75.163	-4.3776
720.000000	75.132	-3.5213
730.000000	75.102	-2.6532
740.000000	75.076	-1.7838
750.000000	75.052	-0.9168
762.000000	75.029	0.1288
775.000000	75.007	1.2566
788.000000	74.989	2.3856
800.000000	74.978	3.4289
812.000000	74.971	4.4646
825.000000	74.969	5.5760
838.000000	74.976	6.6713
850.000000	74.985	7.6933
862.000000	74.997	8.7068
875.000000	75.015	9.7822
885.000000	75.034	10.5923
900.000000	75.068	11.7818
912.000000	75.100	12.7176
925.000000	75.141	13.7102
938.000000	75.187	14.6791
950.000000	75.233	15.5534
962.000000	75.282	16.3941
975.000000	75.339	17.2710
988.000000	75.398	18.1111
1000.000000	75.454	18.8495
1015.000000	75.524	19.7324
1030.000000	75.597	20.5863
1044.000000	75.668	21.3633
1060.000000	75.752	22.2013
1075.000000	75.832	22.9382
1090.000000	75.911	23.6412
1106.000000	75.996	24.3447
1120.000000	76.072	24.9232
1138.000000	76.170	25.6089
1150.000000	76.233	26.0291
1172.000000	76.345	26.7552
1180.000000	76.384	27.0059
1206.000000	76.504	27.7636
1220.000000	76.565	28.1431
1241.000000	76.652	28.6993
1250.000000	76.688	28.9339
1265.000000	76.745	29.3173
1280.000000	76.799	29.6893
1315.000000	76.917	30.5588
1320.000000	76.933	30.6863
1340.000000	76.995	31.2003
1360.000000	77.055	31.7225
1380.000000	77.116	32.2604
1400.000000	77.177	32.8124
1430.000000	77.274	33.6657
1450.000000	77.340	34.2414
1475.000000	77.427	34.9642
1500.000000	77.522	35.6874
1525.000000	77.624	36.3988
1550.000000	77.735	37.0833
1575.000000	77.854	37.7237
1600.000000	77.981	38.2977
1625.000000	78.115	38.7989
1650.000000	78.250	39.2152
1675.000000	78.384	39.5365
1700.000000	78.516	39.7684
1725.000000	78.641	39.9291
1750.000000	78.758	40.0352
1775.000000	78.867	40.0986
1800.000000	78.967	40.1284
1825.000000	79.057	40.1370
1850.000000	79.139	40.1367
1875.000000	79.213	40.1428
1900.000000	79.281	40.1689
1925.000000	79.344	40.2185
1950.000000	79.404	40.2916
1975.000000	79.462	40.3869
2000.000000	79.519	40.5069
2030.000000	79.587	40.6748
2060.000000	79.656	40.8590
2090.000000	79.728	41.0577
2120.000000	79.803	41.2595
2140.000000	79.853	41.3942
2180.000000	79.957	41.6617
2200.000000	80.009	41.7944
2240.000000	80.118	42.0513
2270.000000	80.202	42.2283
2300.000000	80.289	42.3923
2330.000000	80.377	42.5427
2360.000000	80.466	42.6742
2400.000000	80.589	42.8144
2430.000000	80.683	42.8896
2470.000000	80.810	42.9467
2500.000000	80.905	42.9513
2540.000000	81.029	42.9217
2580.000000	81.151	42.8641
2620.000000	81.272	42.7745
2650.000000	81.364	42.6788
2690.000000	81.484	42.5083
2720.000000	81.573	42.3535
2760.000000	81.689	42.1166
2800.000000	81.804	41.8451
2850.000000	81.944	41.4451
2900.000000	82.081	40.9808
2950.000000	82.211	40.4604
3000.000000	82.334	39.8808
3040.000000	82.427	39.3803
3070.000000	82.493	38.9806
3110.000000	82.576	38.4226
3150.000000	82.653	37.8393
3200.000000	82.741	37.0720
3250.000000	82.818	36.2756
3300.000000	82.883	35.4615
3350.000000	82.938	34.6410
3400.000000	82.983	33.8201
3450.000000	83.019	33.0054
3500.000000	83.046	32.1964
3550.000000	83.065	31.3980
3600.000000	83.077	30.6143
3650.000000	83.082	29.8386
3700.000000	83.079	29.0762
3750.000000	83.069	28.3390
3820.000000	83.042	27.3462
3870.000000	83.017	26.6770
3950.000000	82.968	25.6933
4000.000000	82.934	25.1280
4060.000000	82.893	24.4928
4120.000000	82.852	23.8741
4180.000000	82.812	23.2641
4250.000000	82.761	22.5643
4310.000000	82.714	21.9730
4370.000000	82.661	21.4007
4440.000000	82.594	20.7703
4500.000000	82.532	20.2598
4550.000000	82.479	19.8565
4620.000000	82.402	19.3342
4680.000000	82.337	18.9240
4750.000000	82.261	18.4707
4820.000000	82.185	18.0366
4870.000000	82.129	17.7379
4940.000000	82.049	17.3341
5000.000000	81.979	17.0079
5080.000000	81.882	16.6044
5150.000000	81.794	16.2865
5220.000000	81.703	16.0086
5300.000000	81.597	15.7620
5380.000000	81.493	15.5871
5450.000000	81.405	15.4929
5520.000000	81.322	15.4421
5600.000000	81.232	15.4228
5700.000000	81.128	15.4525
5800.000000	81.031	15.5384
5900.000000	80.943	15.6867
6000.000000	80.868	15.8991
6080.000000	80.819	16.1063
6150.000000	80.784	16.3121
6220.000000	80.758	16.5380
6300.000000	80.741	16.8042
6400.000000	80.737	17.1435
6500.000000	80.753	17.4989
6600.000000	80.800	17.8175
6700.000000	80.875	18.0256
6800.000000	80.970	18.1148
6900.000000	81.084	18.0741
7000.000000	81.215	17.8953
7100.000000	81.366	17.5802
7200.000000	81.539	17.1142
7300.000000	81.738	16.4533
7400.000000	81.965	15.5397
7500.000000	82.226	14.3021
7620.000000	82.585	12.1986
