* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Mar 21, 2025 2:26:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 (MSI B550)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.552	39.0471
20.299999	97.560	37.5575
20.600000	97.566	36.0977
20.900000	97.572	34.6693
21.200001	97.576	33.2720
21.400000	97.579	32.3568
21.799999	97.585	30.5612
22.000000	97.589	29.6787
22.400000	97.596	27.9401
22.700001	97.600	26.6578
23.000000	97.605	25.3948
23.299999	97.609	24.1521
23.600000	97.612	22.9314
24.000000	97.616	21.3390
24.299999	97.618	20.1712
24.700001	97.621	18.6477
25.000000	97.624	17.5292
25.400000	97.627	16.0678
25.799999	97.631	14.6383
26.200001	97.634	13.2382
26.500000	97.636	12.2061
26.900000	97.637	10.8527
27.200001	97.638	9.8545
27.600000	97.638	8.5464
28.000000	97.636	7.2651
28.500000	97.633	5.7016
29.000000	97.629	4.1790
29.500000	97.626	2.6937
30.000000	97.622	1.2401
30.400000	97.619	0.0961
30.700001	97.617	-0.7519
31.100000	97.614	-1.8690
31.500000	97.610	-2.9692
32.000000	97.604	-4.3184
32.500000	97.597	-5.6374
33.000000	97.591	-6.9267
33.500000	97.584	-8.1864
34.000000	97.576	-9.4170
34.500000	97.569	-10.6213
35.000000	97.562	-11.8040
35.500000	97.554	-12.9668
36.000000	97.544	-14.1071
36.500000	97.534	-15.2228
37.000000	97.524	-16.3171
37.500000	97.513	-17.3957
38.200001	97.496	-18.8794
38.700001	97.482	-19.9117
39.500000	97.460	-21.5144
40.000000	97.448	-22.5004
40.599998	97.433	-23.6803
41.200001	97.414	-24.8464
41.799999	97.391	-25.9760
42.500000	97.364	-27.2373
43.099998	97.344	-28.2902
43.700001	97.325	-29.3397
44.400002	97.298	-30.5550
45.000000	97.271	-31.5641
45.500000	97.248	-32.3752
46.200001	97.218	-33.4835
46.799999	97.193	-34.4268
47.500000	97.161	-35.5165
48.200001	97.127	-36.5850
48.700001	97.103	-37.3415
49.400002	97.068	-38.4011
50.000000	97.033	-39.3024
50.799999	96.982	-40.4749
51.500000	96.933	-41.4731
52.200001	96.881	-42.4462
53.000000	96.817	-43.5233
53.799999	96.749	-44.5726
54.500000	96.682	-45.4656
55.200001	96.610	-46.3206
56.000000	96.523	-47.2523
57.000000	96.408	-48.3565
58.000000	96.288	-49.4209
59.000000	96.156	-50.4535
60.000000	96.018	-51.3438
60.799999	95.919	-52.0327
61.500000	95.831	-52.6938
62.200001	95.733	-53.3577
63.000000	95.615	-54.0650
64.000000	95.467	-54.9240
65.000000	95.313	-55.7833
66.000000	95.154	-56.6258
67.000000	94.990	-57.4584
68.000000	94.826	-58.2739
69.000000	94.664	-59.0830
70.000000	94.503	-59.8843
71.000000	94.344	-60.6643
72.000000	94.187	-61.4156
73.000000	94.032	-62.1333
74.000000	93.877	-62.8138
75.000000	93.723	-63.4646
76.199997	93.535	-64.2142
77.500000	93.332	-64.9769
78.800003	93.131	-65.7345
80.000000	92.944	-66.4156
81.199997	92.758	-67.0621
82.500000	92.560	-67.7361
83.800003	92.363	-68.3700
85.000000	92.182	-68.9192
86.199997	92.001	-69.4518
87.500000	91.803	-69.9971
88.500000	91.651	-70.3889
90.000000	91.427	-70.9467
91.199997	91.251	-71.3828
92.500000	91.061	-71.8460
93.800003	90.869	-72.2842
95.000000	90.691	-72.6400
96.199997	90.516	-72.9676
97.500000	90.327	-73.3057
98.800003	90.140	-73.6291
100.000000	89.968	-73.9171
101.500000	89.754	-74.2495
103.000000	89.543	-74.5539
104.400002	89.347	-74.8106
106.000000	89.124	-75.0610
107.500000	88.918	-75.2674
109.000000	88.712	-75.4588
110.599998	88.495	-75.6320
112.000000	88.308	-75.7633
113.800003	88.072	-75.8959
115.000000	87.916	-75.9602
117.199997	87.632	-76.0325
118.000000	87.528	-76.0425
120.599998	87.197	-76.0158
122.000000	87.024	-75.9887
124.099998	86.768	-75.9460
125.000000	86.659	-75.9200
126.500000	86.476	-75.8455
128.000000	86.297	-75.7405
131.500000	85.891	-75.4021
132.000000	85.835	-75.3459
134.000000	85.612	-75.1150
136.000000	85.390	-74.8610
138.000000	85.173	-74.5862
140.000000	84.962	-74.2830
143.000000	84.648	-73.7682
145.000000	84.440	-73.3589
147.500000	84.185	-72.8640
150.000000	83.933	-72.3499
152.500000	83.691	-71.7964
155.000000	83.442	-71.1654
157.500000	83.186	-70.3013
160.000000	82.962	-69.1221
162.500000	82.815	-67.9545
165.000000	82.721	-67.2542
167.500000	82.604	-66.8582
170.000000	82.445	-66.3097
172.500000	82.266	-65.6738
175.000000	82.090	-65.1261
177.500000	81.934	-64.6344
180.000000	81.793	-64.0312
182.500000	81.645	-63.2944
185.000000	81.494	-62.5301
187.500000	81.357	-61.8487
190.000000	81.234	-61.1903
192.500000	81.117	-60.5005
195.000000	81.000	-59.8109
197.500000	80.886	-59.1345
200.000000	80.769	-58.4157
203.000000	80.621	-57.4997
206.000000	80.483	-56.6848
209.000000	80.373	-55.9846
212.000000	80.294	-55.2026
214.000000	80.245	-54.6842
218.000000	80.117	-53.5693
220.000000	80.058	-52.9491
224.000000	79.950	-51.9145
227.000000	79.858	-51.1526
230.000000	79.772	-50.4339
233.000000	79.699	-49.7842
236.000000	79.634	-49.1674
240.000000	79.541	-48.3229
243.000000	79.472	-47.6817
247.000000	79.386	-46.8803
250.000000	79.325	-46.2994
254.000000	79.242	-45.5390
258.000000	79.162	-44.8368
262.000000	79.084	-44.1479
265.000000	79.031	-43.6024
269.000000	78.964	-42.9312
272.000000	78.916	-42.4339
276.000000	78.848	-41.7384
280.000000	78.781	-41.0492
285.000000	78.705	-40.2120
290.000000	78.636	-39.4284
295.000000	78.573	-38.6908
300.000000	78.509	-37.9835
304.000000	78.459	-37.4619
307.000000	78.419	-37.0544
311.000000	78.365	-36.4947
315.000000	78.314	-35.9558
320.000000	78.255	-35.2961
325.000000	78.198	-34.7055
330.000000	78.139	-34.1510
335.000000	78.082	-33.5819
340.000000	78.025	-32.9847
345.000000	77.962	-32.4128
350.000000	77.899	-31.8263
355.000000	77.844	-31.1651
360.000000	77.798	-30.5676
365.000000	77.750	-30.0779
370.000000	77.697	-29.6077
375.000000	77.644	-29.1205
382.000000	77.574	-28.4051
387.000000	77.524	-27.9015
395.000000	77.442	-27.0944
400.000000	77.393	-26.5933
406.000000	77.337	-26.0016
412.000000	77.286	-25.4246
418.000000	77.241	-24.8414
425.000000	77.182	-24.1526
431.000000	77.133	-23.5913
437.000000	77.086	-23.0481
444.000000	77.030	-22.4280
450.000000	76.984	-21.9061
455.000000	76.945	-21.4818
462.000000	76.889	-20.8865
468.000000	76.841	-20.3899
475.000000	76.789	-19.8135
482.000000	76.738	-19.2437
487.000000	76.701	-18.8408
494.000000	76.648	-18.2679
500.000000	76.602	-17.7663
508.000000	76.542	-17.0926
515.000000	76.492	-16.4994
522.000000	76.443	-15.9079
530.000000	76.387	-15.2402
538.000000	76.331	-14.5733
545.000000	76.283	-13.9971
552.000000	76.238	-13.4241
560.000000	76.187	-12.7591
570.000000	76.124	-11.9273
580.000000	76.063	-11.0974
590.000000	76.004	-10.2610
600.000000	75.947	-9.4257
608.000000	75.904	-8.7594
615.000000	75.868	-8.1675
622.000000	75.832	-7.5775
630.000000	75.792	-6.9144
640.000000	75.744	-6.0739
650.000000	75.700	-5.2311
660.000000	75.656	-4.3850
670.000000	75.614	-3.5419
680.000000	75.576	-2.7021
690.000000	75.540	-1.8551
700.000000	75.505	-1.0090
710.000000	75.471	-0.1657
720.000000	75.444	0.6743
730.000000	75.418	1.5167
740.000000	75.393	2.3636
750.000000	75.372	3.2124
762.000000	75.348	4.2374
775.000000	75.329	5.3364
788.000000	75.313	6.4377
800.000000	75.302	7.4605
812.000000	75.295	8.4863
825.000000	75.293	9.5785
838.000000	75.298	10.6700
850.000000	75.306	11.6690
862.000000	75.318	12.6676
875.000000	75.336	13.7325
885.000000	75.355	14.5432
900.000000	75.388	15.7574
912.000000	75.419	16.7151
925.000000	75.460	17.7289
938.000000	75.507	18.7108
950.000000	75.554	19.5891
962.000000	75.605	20.4446
975.000000	75.664	21.3410
988.000000	75.728	22.2044
1000.000000	75.790	22.9720
1015.000000	75.870	23.8863
1030.000000	75.953	24.7460
1044.000000	76.033	25.5005
1060.000000	76.126	26.3046
1075.000000	76.212	27.0159
