* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 21, 2025 1:42:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.697	173.3909
20.299999	91.694	172.9340
20.600000	91.689	172.4919
20.900000	91.681	172.0673
21.200001	91.670	171.6547
21.400000	91.661	171.3888
21.799999	91.640	170.8830
22.000000	91.629	170.6368
22.400000	91.604	170.1179
22.700001	91.583	169.7391
23.000000	91.561	169.3656
23.299999	91.537	168.9568
23.600000	91.511	168.5547
24.000000	91.476	168.0321
24.299999	91.450	167.6094
24.700001	91.414	167.0544
25.000000	91.388	166.6483
25.400000	91.355	166.0755
25.799999	91.322	165.5210
26.200001	91.291	164.9741
26.500000	91.270	164.5663
26.900000	91.243	164.0350
27.200001	91.224	163.6463
27.600000	91.199	163.1395
28.000000	91.174	162.6454
28.500000	91.143	162.0651
29.000000	91.110	161.5105
29.500000	91.076	160.9919
30.000000	91.040	160.4973
30.400000	91.010	160.1116
30.700001	90.987	159.8277
31.100000	90.954	159.4503
31.500000	90.920	159.0639
32.000000	90.874	158.5919
32.500000	90.826	158.1077
33.000000	90.777	157.6378
33.500000	90.728	157.1502
34.000000	90.680	156.6667
34.500000	90.632	156.1729
35.000000	90.584	155.6953
35.500000	90.539	155.2228
36.000000	90.496	154.7581
36.500000	90.454	154.2966
37.000000	90.412	153.8457
37.500000	90.370	153.4163
38.200001	90.311	152.8343
38.700001	90.268	152.4250
39.500000	90.189	151.8075
40.000000	90.138	151.4672
40.599998	90.081	151.0758
41.200001	90.026	150.6645
41.799999	89.967	150.2258
42.500000	89.893	149.7209
43.099998	89.830	149.3027
43.700001	89.767	148.8773
44.400002	89.693	148.3919
45.000000	89.632	148.0045
45.500000	89.585	147.6873
46.200001	89.522	147.2253
46.799999	89.466	146.8272
47.500000	89.398	146.3964
48.200001	89.331	145.9908
48.700001	89.284	145.7011
49.400002	89.213	145.3009
50.000000	89.151	144.9741
50.799999	89.067	144.5443
51.500000	88.992	144.1699
52.200001	88.917	143.8032
53.000000	88.833	143.3793
53.799999	88.749	142.9437
54.500000	88.677	142.5643
55.200001	88.603	142.2050
56.000000	88.523	141.8504
57.000000	88.432	141.4188
58.000000	88.327	141.0312
59.000000	88.238	140.8538
60.000000	88.175	140.4166
60.799999	88.077	139.9147
61.500000	87.966	139.6664
62.200001	87.869	139.5523
63.000000	87.775	139.3750
64.000000	87.656	139.0687
65.000000	87.540	138.7459
66.000000	87.424	138.4188
67.000000	87.314	138.1393
68.000000	87.210	137.9016
69.000000	87.112	137.7020
70.000000	87.016	137.5199
71.000000	86.922	137.3411
72.000000	86.827	137.1467
73.000000	86.732	136.9391
74.000000	86.637	136.7180
75.000000	86.544	136.4734
76.199997	86.430	136.1613
77.500000	86.300	135.8819
78.800003	86.175	135.6829
80.000000	86.061	135.5110
81.199997	85.946	135.3340
82.500000	85.816	135.1419
83.800003	85.683	135.0018
85.000000	85.565	134.9105
86.199997	85.453	134.8450
87.500000	85.336	134.7805
88.500000	85.246	134.7471
90.000000	85.116	134.7036
91.199997	85.014	134.6586
92.500000	84.905	134.6182
93.800003	84.799	134.5709
95.000000	84.700	134.5223
96.199997	84.600	134.4818
97.500000	84.492	134.4560
98.800003	84.385	134.4184
100.000000	84.284	134.3784
101.500000	84.157	134.3424
103.000000	84.031	134.3359
104.400002	83.917	134.3600
106.000000	83.786	134.3964
107.500000	83.661	134.4421
109.000000	83.535	134.5208
110.599998	83.406	134.6259
112.000000	83.296	134.7221
113.800003	83.160	134.8721
115.000000	83.071	134.9752
117.199997	82.905	135.1963
118.000000	82.843	135.2876
120.599998	82.645	135.6250
122.000000	82.541	135.8099
124.099998	82.387	136.0950
125.000000	82.321	136.2391
126.500000	82.217	136.5105
128.000000	82.118	136.7756
131.500000	81.885	137.3737
132.000000	81.852	137.4645
134.000000	81.717	137.8561
136.000000	81.586	138.2682
138.000000	81.467	138.7317
140.000000	81.358	139.1384
143.000000	81.189	139.7308
145.000000	81.068	140.1667
147.500000	80.923	140.8062
150.000000	80.798	141.3942
152.500000	80.674	141.9174
155.000000	80.552	142.5424
157.500000	80.441	143.2394
160.000000	80.333	143.9128
162.500000	80.227	144.5724
165.000000	80.131	145.2272
167.500000	80.037	145.9292
170.000000	79.945	146.6441
172.500000	79.859	147.2815
175.000000	79.779	147.8870
177.500000	79.706	148.6270
180.000000	79.639	149.4157
182.500000	79.565	150.1321
185.000000	79.497	150.8187
187.500000	79.444	151.4669
190.000000	79.399	152.0959
192.500000	79.356	152.7261
195.000000	79.310	153.3704
197.500000	79.265	154.0142
200.000000	79.226	154.5921
203.000000	79.187	155.2264
206.000000	79.157	155.9939
209.000000	79.124	156.8050
212.000000	79.072	157.5542
214.000000	79.036	158.0005
218.000000	78.992	158.8398
