* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 21, 2025 1:45:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.105	172.1083
20.299999	91.099	171.6784
20.600000	91.091	171.2623
20.900000	91.081	170.8616
21.200001	91.068	170.4692
21.400000	91.059	170.2140
21.799999	91.038	169.7208
22.000000	91.027	169.4765
22.400000	91.001	168.9533
22.700001	90.979	168.5667
23.000000	90.955	168.1842
23.299999	90.929	167.7673
23.600000	90.901	167.3600
24.000000	90.863	166.8367
24.299999	90.834	166.4188
24.700001	90.795	165.8768
25.000000	90.768	165.4841
25.400000	90.733	164.9302
25.799999	90.701	164.3908
26.200001	90.671	163.8510
26.500000	90.650	163.4434
26.900000	90.621	162.9100
27.200001	90.599	162.5222
27.600000	90.570	162.0244
28.000000	90.541	161.5488
28.500000	90.507	160.9970
29.000000	90.473	160.4632
29.500000	90.437	159.9493
30.000000	90.398	159.4456
30.400000	90.365	159.0491
30.700001	90.338	158.7591
31.100000	90.301	158.3808
31.500000	90.262	158.0026
32.000000	90.212	157.5481
32.500000	90.162	157.0764
33.000000	90.111	156.6073
33.500000	90.060	156.1176
34.000000	90.007	155.6418
34.500000	89.954	155.1663
35.000000	89.904	154.7067
35.500000	89.855	154.2466
36.000000	89.808	153.7933
36.500000	89.761	153.3464
37.000000	89.713	152.9098
37.500000	89.664	152.4966
38.200001	89.596	151.9642
38.700001	89.549	151.6089
39.500000	89.478	151.0237
40.000000	89.431	150.6434
40.599998	89.368	150.1967
41.200001	89.303	149.7894
41.799999	89.240	149.4015
42.500000	89.172	148.9306
43.099998	89.110	148.5087
43.700001	89.044	148.0938
44.400002	88.966	147.6587
45.000000	88.904	147.3161
45.500000	88.856	147.0216
46.200001	88.790	146.5739
46.799999	88.727	146.1827
47.500000	88.651	145.7574
48.200001	88.578	145.3562
48.700001	88.526	145.0673
49.400002	88.451	144.6624
50.000000	88.387	144.3362
50.799999	88.304	143.9258
51.500000	88.234	143.5629
52.200001	88.161	143.1998
53.000000	88.076	142.8168
53.799999	87.990	142.4615
54.500000	87.913	142.1667
55.200001	87.837	141.8876
56.000000	87.749	141.5537
57.000000	87.633	141.1294
58.000000	87.518	140.6751
59.000000	87.380	140.1873
60.000000	87.241	140.0485
60.799999	87.186	139.9600
61.500000	87.149	139.6353
62.200001	87.089	139.2190
63.000000	87.005	138.8400
64.000000	86.905	138.4576
65.000000	86.801	138.1063
66.000000	86.695	137.8292
67.000000	86.592	137.5858
68.000000	86.490	137.3316
69.000000	86.385	137.0696
70.000000	86.278	136.8359
71.000000	86.174	136.6142
72.000000	86.073	136.3985
73.000000	85.974	136.1954
74.000000	85.876	135.9938
75.000000	85.777	135.8001
76.199997	85.657	135.5716
77.500000	85.522	135.3401
78.800003	85.388	135.1451
80.000000	85.264	134.9670
81.199997	85.141	134.8121
82.500000	85.012	134.6676
83.800003	84.883	134.5184
85.000000	84.762	134.4178
86.199997	84.647	134.3409
87.500000	84.524	134.2525
88.500000	84.429	134.1936
90.000000	84.287	134.1170
91.199997	84.172	134.0795
92.500000	84.045	134.0657
93.800003	83.918	134.0775
95.000000	83.803	134.0827
96.199997	83.686	134.0961
97.500000	83.564	134.1281
98.800003	83.445	134.1628
100.000000	83.338	134.2043
101.500000	83.206	134.2780
103.000000	83.075	134.3694
104.400002	82.952	134.4847
106.000000	82.815	134.6501
107.500000	82.688	134.8062
109.000000	82.562	134.9810
110.599998	82.432	135.1776
112.000000	82.318	135.3406
113.800003	82.174	135.6050
115.000000	82.083	135.7845
117.199997	81.911	136.0973
118.000000	81.847	136.2361
120.599998	81.642	136.7245
122.000000	81.533	136.9901
124.099998	81.373	137.4177
125.000000	81.308	137.6206
126.500000	81.210	137.9484
128.000000	81.115	138.2407
131.500000	80.890	138.9237
132.000000	80.857	139.0275
134.000000	80.723	139.4576
136.000000	80.584	139.9484
138.000000	80.450	140.4915
140.000000	80.325	141.1054
143.000000	80.174	142.0072
145.000000	80.075	142.5473
147.500000	79.944	143.2102
150.000000	79.808	143.9143
152.500000	79.671	144.6799
155.000000	79.524	145.6343
157.500000	79.400	146.7864
160.000000	79.324	147.8671
162.500000	79.286	148.6937
165.000000	79.249	149.4068
167.500000	79.193	150.1862
170.000000	79.127	150.9423
172.500000	79.067	151.5257
175.000000	79.015	152.0887
177.500000	78.965	152.7740
180.000000	78.900	153.5033
182.500000	78.825	154.1339
185.000000	78.754	154.7237
187.500000	78.709	155.4020
190.000000	78.681	156.1255
192.500000	78.651	156.9297
195.000000	78.612	157.7374
197.500000	78.570	158.4619
200.000000	78.539	159.0328
203.000000	78.513	159.5950
206.000000	78.467	160.2921
209.000000	78.435	161.2376
212.000000	78.461	162.1870
214.000000	78.500	162.8374
218.000000	78.541	163.9346
220.000000	78.532	164.3569
224.000000	78.506	164.9760
227.000000	78.510	165.4831
230.000000	78.522	166.0585
233.000000	78.528	166.6277
236.000000	78.533	167.1289
240.000000	78.544	167.7393
243.000000	78.552	168.2234
247.000000	78.561	168.8580
250.000000	78.569	169.3016
254.000000	78.580	169.8709
258.000000	78.592	170.4436
262.000000	78.607	170.9921
265.000000	78.620	171.3743
269.000000	78.642	171.8763
272.000000	78.658	172.2329
276.000000	78.676	172.6989
280.000000	78.690	173.1418
285.000000	78.707	173.6949
290.000000	78.731	174.1805
295.000000	78.753	174.6692
300.000000	78.776	175.1303
304.000000	78.794	175.4601
307.000000	78.807	175.6935
311.000000	78.826	176.0150
315.000000	78.844	176.3335
320.000000	78.862	176.7037
325.000000	78.879	177.0896
330.000000	78.897	177.4480
335.000000	78.916	177.7696
340.000000	78.936	178.0628
345.000000	78.948	178.3761
350.000000	78.959	178.7104
355.000000	78.978	178.9843
360.000000	78.996	179.2463
365.000000	79.010	179.5151
370.000000	79.021	179.7897
375.000000	79.029	-179.9403
382.000000	79.041	-179.5530
387.000000	79.052	-179.2850
395.000000	79.069	-178.8802
400.000000	79.080	-178.6333
406.000000	79.095	-178.3445
412.000000	79.108	-178.0350
418.000000	79.123	-177.7491
425.000000	79.141	-177.4472
431.000000	79.156	-177.1941
437.000000	79.169	-176.9783
444.000000	79.182	-176.7496
450.000000	79.190	-176.5453
455.000000	79.196	-176.3709
462.000000	79.203	-176.1382
468.000000	79.207	-175.9449
475.000000	79.208	-175.6934
482.000000	79.209	-175.4479
487.000000	79.208	-175.2721
494.000000	79.208	-175.0383
500.000000	79.208	-174.8365
508.000000	79.208	-174.5272
515.000000	79.207	-174.2628
522.000000	79.205	-174.0071
530.000000	79.202	-173.7105
538.000000	79.199	-173.4163
545.000000	79.196	-173.1535
552.000000	79.194	-172.8873
560.000000	79.191	-172.5743
570.000000	79.187	-172.1731
580.000000	79.183	-171.7673
590.000000	79.178	-171.3551
600.000000	79.175	-170.9375
608.000000	79.173	-170.5992
615.000000	79.171	-170.2933
622.000000	79.170	-169.9897
630.000000	79.169	-169.6473
640.000000	79.168	-169.2079
650.000000	79.167	-168.7542
660.000000	79.166	-168.3059
670.000000	79.167	-167.8494
680.000000	79.169	-167.3819
690.000000	79.172	-166.9100
700.000000	79.176	-166.4321
710.000000	79.181	-165.9506
720.000000	79.186	-165.4704
730.000000	79.192	-164.9731
740.000000	79.201	-164.4597
750.000000	79.212	-163.9397
762.000000	79.227	-163.3150
775.000000	79.246	-162.6250
788.000000	79.269	-161.9287
800.000000	79.295	-161.2905
812.000000	79.324	-160.6543
825.000000	79.357	-159.9594
838.000000	79.395	-159.2712
850.000000	79.433	-158.6375
862.000000	79.473	-158.0016
875.000000	79.520	-157.3125
885.000000	79.560	-156.7831
900.000000	79.626	-155.9930
912.000000	79.683	-155.3675
925.000000	79.750	-154.7091
938.000000	79.823	-154.0707
950.000000	79.894	-153.4995
962.000000	79.969	-152.9526
975.000000	80.054	-152.3899
988.000000	80.141	-151.8569
1000.000000	80.223	-151.3929
1015.000000	80.329	-150.8535
1030.000000	80.437	-150.3552
1044.000000	80.538	-149.9378
1060.000000	80.655	-149.5081
1075.000000	80.764	-149.1428
1090.000000	80.873	-148.8173
1106.000000	80.988	-148.5161
1120.000000	81.087	-148.2892
1138.000000	81.210	-148.0404
1150.000000	81.290	-147.8985
1172.000000	81.431	-147.6845
1180.000000	81.481	-147.6195
1206.000000	81.634	-147.4371
1220.000000	81.712	-147.3556
1241.000000	81.823	-147.2581
1250.000000	81.868	-147.2207
1265.000000	81.940	-147.1588
1280.000000	82.008	-147.0945
1315.000000	82.159	-146.9111
1320.000000	82.180	-146.8822
1340.000000	82.262	-146.7659
1360.000000	82.343	-146.6478
1380.000000	82.421	-146.5218
1400.000000	82.496	-146.3804
1430.000000	82.604	-146.1262
1450.000000	82.677	-145.9249
1475.000000	82.772	-145.6464
1500.000000	82.871	-145.3541
1525.000000	82.976	-145.0579
1550.000000	83.088	-144.7690
1575.000000	83.205	-144.4932
1600.000000	83.327	-144.2396
1625.000000	83.454	-144.0220
1650.000000	83.585	-143.8493
