* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 27, 2025 10:03:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Zero Blue 2 S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.027	177.2031
20.600000	91.023	176.8269
20.900000	91.016	176.3920
21.200001	91.006	175.9535
21.400000	90.999	175.6637
21.799999	90.986	175.1001
22.000000	90.977	174.8253
22.400000	90.956	174.2487
22.700001	90.937	173.8331
23.000000	90.916	173.4257
23.299999	90.894	172.9826
23.600000	90.871	172.5452
24.000000	90.840	171.9783
24.299999	90.817	171.5248
24.700001	90.784	170.9414
25.000000	90.758	170.5217
25.400000	90.726	169.9310
25.799999	90.695	169.3538
26.200001	90.668	168.7757
26.500000	90.650	168.3414
26.900000	90.627	167.7777
27.200001	90.609	167.3710
27.600000	90.585	166.8509
28.000000	90.562	166.3549
28.500000	90.534	165.7780
29.000000	90.507	165.2249
29.500000	90.476	164.6971
30.000000	90.441	164.1842
30.400000	90.411	163.7821
30.700001	90.387	163.4881
31.100000	90.355	163.1012
31.500000	90.322	162.7085
32.000000	90.278	162.2277
32.500000	90.230	161.7276
33.000000	90.182	161.2483
33.500000	90.135	160.7659
34.000000	90.091	160.2988
34.500000	90.046	159.8180
35.000000	90.000	159.3354
35.500000	89.955	158.8488
36.000000	89.912	158.3797
36.500000	89.870	157.9355
37.000000	89.827	157.5165
37.500000	89.782	157.1220
38.200001	89.719	156.5853
38.700001	89.677	156.2032
39.500000	89.607	155.5884
40.000000	89.558	155.2227
40.599998	89.498	154.8062
41.200001	89.441	154.4029
41.799999	89.387	153.9864
42.500000	89.318	153.4973
43.099998	89.255	153.1010
43.700001	89.196	152.7086
44.400002	89.135	152.2349
45.000000	89.082	151.8290
45.500000	89.034	151.5125
46.200001	88.960	151.1118
46.799999	88.894	150.7881
47.500000	88.819	150.4134
48.200001	88.747	150.0383
48.700001	88.701	149.7653
49.400002	88.641	149.3735
50.000000	88.588	149.0455
50.799999	88.510	148.6344
51.500000	88.438	148.2916
52.200001	88.370	147.9512
53.000000	88.291	147.5767
53.799999	88.208	147.2287
54.500000	88.139	146.9318
55.200001	88.069	146.6238
56.000000	87.989	146.2878
57.000000	87.887	145.9580
58.000000	87.776	145.6859
59.000000	87.705	145.5081
60.000000	87.664	145.3088
60.799999	87.582	144.9417
61.500000	87.491	144.5646
62.200001	87.412	144.2713
63.000000	87.334	144.0186
64.000000	87.237	143.6963
65.000000	87.149	143.3902
66.000000	87.056	143.0992
67.000000	86.960	142.8116
68.000000	86.862	142.5475
69.000000	86.765	142.2968
70.000000	86.673	142.0497
71.000000	86.581	141.8229
72.000000	86.490	141.6193
73.000000	86.399	141.4183
74.000000	86.304	141.2455
75.000000	86.212	141.0995
76.199997	86.103	140.8867
77.500000	85.979	140.6581
78.800003	85.862	140.4550
80.000000	85.757	140.3045
81.199997	85.653	140.1935
82.500000	85.539	140.0791
83.800003	85.425	139.9711
85.000000	85.321	139.8788
86.199997	85.218	139.7937
87.500000	85.108	139.7021
88.500000	85.025	139.6451
90.000000	84.901	139.5763
91.199997	84.805	139.5486
92.500000	84.703	139.5105
93.800003	84.610	139.4868
95.000000	84.533	139.4722
96.199997	84.439	139.5229
97.500000	84.312	139.5684
98.800003	84.201	139.5318
100.000000	84.110	139.5440
101.500000	83.996	139.5972
103.000000	83.882	139.6348
104.400002	83.779	139.6764
106.000000	83.659	139.7646
107.500000	83.547	139.8693
109.000000	83.437	139.9621
110.599998	83.326	140.0876
112.000000	83.231	140.2344
113.800003	83.108	140.4040
115.000000	83.026	140.5060
117.199997	82.876	140.7336
118.000000	82.824	140.8459
120.599998	82.655	141.2497
