* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 27, 2025 10:13:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Zero Blue 2 S2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.536	176.0603
20.600000	90.529	175.6869
20.900000	90.518	175.2527
21.200001	90.505	174.8172
21.400000	90.497	174.5330
21.799999	90.480	173.9904
22.000000	90.471	173.7299
22.400000	90.449	173.1829
22.700001	90.429	172.7862
23.000000	90.406	172.3936
23.299999	90.381	171.9626
23.600000	90.355	171.5371
24.000000	90.320	170.9881
24.299999	90.294	170.5486
24.700001	90.258	169.9799
25.000000	90.232	169.5659
25.400000	90.198	168.9767
25.799999	90.165	168.4004
26.200001	90.135	167.8310
26.500000	90.114	167.4103
26.900000	90.087	166.8711
27.200001	90.067	166.4831
27.600000	90.041	165.9827
28.000000	90.016	165.4974
28.500000	89.986	164.9234
29.000000	89.954	164.3679
29.500000	89.918	163.8382
30.000000	89.880	163.3301
30.400000	89.849	162.9415
30.700001	89.825	162.6647
31.100000	89.792	162.3075
31.500000	89.756	161.9463
32.000000	89.707	161.4968
32.500000	89.657	161.0146
33.000000	89.607	160.5456
33.500000	89.558	160.0728
34.000000	89.509	159.6161
34.500000	89.459	159.1465
35.000000	89.410	158.6793
35.500000	89.363	158.2130
36.000000	89.318	157.7628
36.500000	89.273	157.3297
37.000000	89.228	156.9173
37.500000	89.181	156.5367
38.200001	89.116	156.0424
38.700001	89.070	155.6974
39.500000	88.997	155.1243
40.000000	88.953	154.7655
40.599998	88.899	154.3453
41.200001	88.843	153.9488
41.799999	88.784	153.5643
42.500000	88.709	153.1145
43.099998	88.644	152.7295
43.700001	88.581	152.3619
44.400002	88.509	151.9836
45.000000	88.448	151.6684
45.500000	88.398	151.3761
46.200001	88.331	150.9269
46.799999	88.274	150.5566
47.500000	88.204	150.1778
48.200001	88.134	149.8306
48.700001	88.083	149.5848
49.400002	88.014	149.2394
50.000000	87.956	148.9491
50.799999	87.877	148.5708
51.500000	87.807	148.2484
52.200001	87.735	147.9309
53.000000	87.655	147.5892
